timestamp_ns,mode,fsm,rl_type,obs_00_base_ang_vel_x_scaled,obs_01_base_ang_vel_y_scaled,obs_02_base_ang_vel_z_scaled,obs_03_projected_gravity_x,obs_04_projected_gravity_y,obs_05_projected_gravity_z,obs_06_abad_l_position_offset_scaled,obs_07_hip_l_position_offset_scaled,obs_08_knee_l_position_offset_scaled,obs_09_abad_r_position_offset_scaled,obs_10_hip_r_position_offset_scaled,obs_11_knee_r_position_offset_scaled,obs_12_abad_l_velocity_scaled,obs_13_hip_l_velocity_scaled,obs_14_knee_l_velocity_scaled,obs_15_wheel_l_velocity_scaled,obs_16_abad_r_velocity_scaled,obs_17_hip_r_velocity_scaled,obs_18_knee_r_velocity_scaled,obs_19_wheel_r_velocity_scaled,obs_20_last_action_abad_l,obs_21_last_action_hip_l,obs_22_last_action_knee_l,obs_23_last_action_wheel_l,obs_24_last_action_abad_r,obs_25_last_action_hip_r,obs_26_last_action_knee_r,obs_27_last_action_wheel_r
1788509069886558553,sim,WALK,isaacgym,0.002606853,0.021888817,0.002179788,0.051600477,0.004725242,-0.998656629,0.075221203,0.063324352,-0.054921398,-0.124236792,-0.048295264,0.086458812,-0.000303353,0.004923826,-0.000118695,-0.042184469,-0.000235632,-0.002395864,-0.000367140,-0.029201326,-0.578358591,0.632917166,-2.320866585,-1.630270481,0.525286853,-0.523593307,2.077202082,-1.352989435
1788509069906369104,sim,WALK,isaacgym,0.001916374,0.022460628,0.002122813,0.053206869,0.004554267,-0.998573126,0.075146414,0.065033262,-0.054872701,-0.124295369,-0.049212505,0.086234877,-0.000112738,0.004578329,0.000373197,-0.039814237,-0.000088352,-0.002698042,-0.000853368,-0.029642215,-0.578015149,0.639786124,-2.323697567,-1.318948388,0.524690390,-0.531305969,2.082427502,-1.207368493
1788509069926405514,sim,WALK,isaacgym,0.000949784,0.021639440,0.001967550,0.054892136,0.004437289,-0.998482430,0.075152434,0.066681420,-0.054621706,-0.124289468,-0.050297042,0.085810909,0.000140671,0.004114591,0.000926064,-0.035330737,0.000117936,-0.003007538,-0.001350449,-0.028684241,-0.575177252,0.645763397,-2.327242851,-0.950318813,0.522122741,-0.539462507,2.088105202,-1.006980300
1788509069946375659,sim,WALK,isaacgym,-0.000129216,0.019604027,0.001791551,0.056384092,0.004401201,-0.998399451,0.075253822,0.068058659,-0.054190049,-0.124204643,-0.051420649,0.085243056,0.000414293,0.003574139,0.001446283,-0.029422963,0.000347374,-0.003249482,-0.001777037,-0.026430273,-0.569332838,0.651376605,-2.331757784,-0.528688550,0.516908765,-0.549069464,2.095553398,-0.753704607
1788509069966381336,sim,WALK,isaacgym,-0.001198826,0.016882474,0.001635661,0.057695777,0.004443665,-0.998324322,0.075452387,0.069217284,-0.053580651,-0.124037817,-0.052611043,0.084534416,0.000675189,0.002841747,0.001908831,-0.022223800,0.000567685,-0.003326669,-0.002132374,-0.023004486,-0.561883569,0.654170930,-2.334167957,-0.068968847,0.509707034,-0.556288719,2.102499485,-0.464053214
1788509069986338063,sim,WALK,isaacgym,-0.002215863,0.013999812,0.001536985,0.058681380,0.004547712,-0.998266404,0.075709112,0.069991876,-0.052904913,-0.123821229,-0.053664883,0.083807061,0.000919190,0.002000320,0.002297242,-0.014633860,0.000777309,-0.003241109,-0.002397922,-0.018954985,-0.553010106,0.655371249,-2.332368612,0.408098459,0.501195669,-0.562671602,2.108447552,-0.153709948
1788509070006406811,sim,WALK,isaacgym,-0.003349131,0.010295475,0.001501413,0.059501864,0.004731843,-0.998216979,0.076066978,0.070487728,-0.052046547,-0.123518154,-0.054728528,0.082940648,0.001173737,0.000930933,0.002738666,-0.005201275,0.000994522,-0.003008394,-0.002687656,-0.013414839,-0.544188201,0.654731095,-2.323767185,0.877529919,0.491748631,-0.566431701,2.111951828,0.156589329
1788509070026338707,sim,WALK,isaacgym,-0.004425266,0.006259267,0.001525927,0.060091420,0.005007118,-0.998180319,0.076532394,0.070605566,-0.050974200,-0.123124883,-0.055754458,0.081915925,0.001395069,-0.000235565,0.003199174,0.004955798,0.001174574,-0.002696724,-0.002992668,-0.007170471,-0.533806622,0.653579593,-2.313554049,1.305089712,0.480015427,-0.570532799,2.116517782,0.448865950
1788509070046577715,sim,WALK,isaacgym,-0.005266098,0.002101490,0.001642735,0.060386169,0.005350381,-0.998160751,0.077062957,0.070316990,-0.049748013,-0.122680947,-0.056668823,0.080788085,0.001540298,-0.001327613,0.003581746,0.014677237,0.001280755,-0.002413302,-0.003246766,-0.001034536,-0.521816790,0.651930988,-2.305260420,1.665657878,0.465625346,-0.574524522,2.124433041,0.712213337
1788509070066329774,sim,WALK,isaacgym,-0.005961548,-0.002324439,0.001769693,0.060371531,0.005748756,-0.998159421,0.077635489,0.069651728,-0.048405061,-0.122208476,-0.057499712,0.079588661,0.001624467,-0.002302380,0.003839764,0.023828192,0.001330460,-0.002191235,-0.003383335,0.004794836,-0.509185970,0.650064766,-2.300211668,1.944923997,0.449638933,-0.577027559,2.135091305,0.942979753
